"","거래","확인일자","매물명","면적","동","층","매물가","중개사무소","매물정보","전화번호"
"1","매매","19.04.23.","아이파크삼성","195/156","웨스트윙동","24/45","380,000","아이파크단지내공인중개사사무소","한강조망 내부럭셔리 입주협의","02-516-0327"
"2","매매","19.04.23.","아이파크삼성","195/156","웨스트윙동","24/45","380,000","아이파크공인중개사무소","탁트인 한강 및 도심조망 내부상태 럭셔리","02-518-8899"
"3","매매","19.04.23.","아이파크삼성","195/156","웨스트윙동","31/45","395,000","아이파크단지내공인중개사사무소","한강조망 최고 내부상태 완벽한집","02-516-0327"
"4","매매","19.04.23.","아이파크삼성","195/156","웨스트윙동","31/45","400,000","아이파크공인중개사무소","로얄동 로얄층 탁트인 최고전망","02-518-8899"
"5","매매","19.04.23.","아이파크삼성","243/195","웨스트윙동","저/45","430,000","아이파크단지내공인중개사사무소","","02-516-0327"
"6","매매","19.04.23.","아이파크삼성","243/195","웨스트윙동","저/45","430,000","아이파크공인중개사무소","정원조망 급매물 내부상태양호","02-518-8899"
"7","매매","19.04.12.","아이파크삼성","243/195","웨스트윙동","6/45","430,000","상원부동산중개 (주)","급매물,내부양호,정원뷰","02-541-8866"
"8","매매","19.04.12.","아이파크삼성","243/195","웨스트윙동","6/45","430,000","상원아이파크부동산중개사무소","급매물,정원조망,내부양호","02-541-8898"
"9","매매","19.04.11.","아이파크삼성","195/156","웨스트윙동","31/45","395,000","상원아이파크부동산중개사무소","최고뷰,로얄층,고급아파트","02-541-8898"
"10","매매","19.04.11.","아이파크삼성","195/156","웨스트윙동","31/45","395,000","상원부동산중개 (주)","로얄동,로얄층,고급인테리어","02-541-8866"
"11","매매","19.04.10.","아이파크삼성","182/145","웨스트윙동","30/45","380,000","아이파크공인중개사무소","한강조망 최고 내부럭셔리 로얄층","02-518-8899"
"12","매매","19.04.10.","아이파크삼성","182/145","웨스트윙동","30/45","380,000","아이파크단지내공인중개사사무소","한강조망최고 내부올수리 최고","02-516-0327"
"13","매매","19.04.24.","아이파크삼성","209/167","사우스윙동","40/46","450,000","상원아이파크부동산중개사무소","로얄층,로얄동,최상의한강뷰,최고급인테리어","02-541-8898"
"14","매매","19.04.24.","아이파크삼성","182/145","사우스윙동","28/46","370,000","상원아이파크부동산중개사무소","최상의 한강뷰, 최고급 인테리어","02-541-8898"
"15","매매","19.04.24.","아이파크삼성","182/145","사우스윙동","22/46","350,000","상원부동산중개 (주)","한강뷰,상태최상,고급아파트","02-541-8866"
"16","매매","19.04.24.","아이파크삼성","292/226","사우스윙동","43/46","700,000","(주)오클하임부동산중개법인","직접매물 복층팬트하우스 테라스 남산까지조망","02-542-3133"
"17","매매","19.04.23.","아이파크삼성","195/156","사우스윙동","18/46","380,000","상원아이파크부동산중개사무소","고급인테리어, 아름다운 한강뷰","02-541-8898"
"18","매매","19.04.23.","아이파크삼성","195/156","웨스트윙동","28/45","380,000","애플자이공인중개사사무소","로얄층,시원한 한강전망,고급인테리어","02-515-6778"
"19","매매","19.04.23.","아이파크삼성","209/167","사우스윙동","19/46","400,000","애플자이공인중개사사무소","시원한 전망,남향 인기구조, 내부깨끗","02-515-6778"
"20","매매","19.04.23.","아이파크삼성","182/145","사우스윙동","28/46","380,000","상원부동산중개 (주)","로얄층,한강뷰,고급아파트","02-541-8866"
"21","매매","19.04.23.","아이파크삼성","182/145","사우스윙동","28/46","370,000","애플자이공인중개사사무소","55P 강추매물,최고의 한강전망,내부깨끗","02-515-6778"
"22","매매","19.04.23.","아이파크삼성","182/145","웨스트윙동","3/45","330,000","애플자이공인중개사사무소","로얄동,탁트인 전망,내부깨끗,인기타입","02-515-6778"
"23","매매","19.04.24.","아이파크삼성","182/145","사우스윙동","22/46","350,000","가온파트너스공인중개사사무소","로얄층 한강뷰 내부상태좋음","02-6673-4000"
"24","매매","19.04.24.","아이파크삼성","182/145","사우스윙동","31/46","400,000","가온파트너스공인중개사사무소","확트인시야 한강뷰 내부컨디션최상","02-6673-4000"
"25","매매","19.04.24.","아이파크삼성","195/156","사우스윙동","17/46","380,000","가온파트너스공인중개사사무소","로얄층 고층뷰 내부컨디션최상 럭셔리하우스","02-6673-4000"
"26","매매","19.04.23.","아이파크삼성","292/226","사우스윙동","43/46","750,000","청담진흥공인중개사사무소","직접매물, 입주가능,복층형 펜트세대입니다","02-3444-0509"
"27","매매","19.04.22.","아이파크삼성","243/195","웨스트윙동","6/45","430,000","부자촌공인중개사사무소","소유주 직접매물 빠른입주 아늑한 뷰 ","02-517-4252"
"28","매매","19.04.22.","아이파크삼성","182/145","웨스트윙동","5/45","320,000","애플자이공인중개사사무소","입주가능,저렴한 가격, 조경전망 좋은 집","02-515-6778"
"29","매매","19.04.19.","아이파크삼성","216/175","웨스트윙동","29/45","540,000","상원아이파크부동산중개사무소","최고의 아파트, 고급인테리어, 조용하고 편리한 주거생활","02-541-8898"
"30","매매","19.04.19.","아이파크삼성","182/145","사우스윙동","22/46","350,000","상원아이파크부동산중개사무소","최상의 한강뷰, 최고급 인테리어","02-541-8898"
